step,episode,ep_reward,ep_steps,success,p_hidden_mean,collision_rate,oob_rate,critic_loss,actor_loss,coverage_loss,alpha,rew_env,rew_coverage,rew_exploration
362,110,-5.0000,2,0,0.8271,0.500,0.500,0.0000,0.0000,0.1899,0.2000,-5.0000,0.0056,0.0000
363,111,-3.0000,1,0,0.8450,1.000,0.000,0.0000,0.0000,0.1685,0.2000,-3.0000,0.0050,0.0000
370,112,-15.0000,7,0,0.8358,0.429,0.571,0.0000,0.0000,0.1794,0.2000,-15.0000,0.0023,0.0000
372,113,-5.0000,2,0,0.8443,0.500,0.500,0.0000,0.0000,0.1692,0.2000,-5.0000,-0.0313,0.0000
374,114,-5.0000,2,0,0.8360,1.000,0.000,0.0000,0.0000,0.1792,0.2000,-5.0000,0.0076,0.0000
377,115,-7.0000,3,0,0.8391,0.667,0.333,0.0000,0.0000,0.1754,0.2000,-7.0000,0.1054,0.0000
378,116,-3.0000,1,0,0.8371,1.000,0.000,0.0000,0.0000,0.1778,0.2000,-3.0000,-0.0286,0.0000
379,117,-3.0000,1,0,0.8414,1.000,0.000,0.0000,0.0000,0.1727,0.2000,-3.0000,0.0055,0.0000
381,118,-5.0000,2,0,0.8459,0.500,0.500,0.0000,0.0000,0.1674,0.2000,-5.0000,-0.0218,0.0000
388,119,-15.0000,7,0,0.8555,0.571,0.429,0.0000,0.0000,0.1561,0.2000,-15.0000,0.0022,0.0000
392,120,-9.0000,4,0,0.8572,0.500,0.500,0.0000,0.0000,1.9474,0.2000,-9.0000,-0.0212,0.0000
395,121,-7.0000,3,0,0.8520,0.667,0.333,0.0000,0.0000,0.1602,0.2000,-7.0000,0.0163,0.0000
397,122,-5.0000,2,0,0.8432,0.500,0.500,0.0000,0.0000,0.1706,0.2000,-5.0000,-0.0478,0.0000
398,123,-3.0000,1,0,0.8449,1.000,0.000,0.0000,0.0000,0.1686,0.2000,-3.0000,-0.0041,0.0000
399,124,-3.0000,1,0,0.8475,1.000,0.000,0.0000,0.0000,0.1655,0.2000,-3.0000,0.0716,0.0000
400,125,-3.0000,1,0,0.8567,1.000,0.000,0.0000,0.0000,0.1546,0.2000,-3.0000,0.0565,0.0000
403,126,-7.0000,3,0,0.8572,0.667,0.333,0.0000,0.0000,0.1541,0.2000,-7.0000,0.0260,0.0000
406,127,-7.0000,3,0,0.8547,0.333,0.667,0.0000,0.0000,0.1570,0.2000,-7.0000,0.0437,0.0000
408,128,-5.0000,2,0,0.8501,0.500,0.500,0.0000,0.0000,0.1624,0.2000,-5.0000,0.0564,0.0000
409,129,-3.0000,1,0,0.8431,1.000,0.000,0.0000,0.0000,0.1707,0.2000,-3.0000,-0.0531,0.0000
410,130,-3.0000,1,0,0.8521,1.000,0.000,0.0000,0.0000,0.1601,0.2000,-3.0000,-0.0338,0.0000
411,131,-3.0000,1,0,0.8479,1.000,0.000,0.0000,0.0000,0.1650,0.2000,-3.0000,-0.0440,0.0000
413,132,-5.0000,2,0,0.8478,0.500,0.500,0.0000,0.0000,0.1652,0.2000,-5.0000,-0.0646,0.0000
414,133,-3.0000,1,0,0.8563,1.000,0.000,0.0000,0.0000,0.1552,0.2000,-3.0000,0.0016,0.0000
415,134,-3.0000,1,0,0.8607,1.000,0.000,0.0000,0.0000,0.1500,0.2000,-3.0000,-0.0311,0.0000
