step,episode,ep_reward,ep_steps,success,p_hidden,critic_loss,actor_loss,coverage_loss,alpha
920,184,-43.9479,5,0,0.9811,0.0000,0.0000,0.0254,0.2000
925,185,-10.7763,5,0,0.9783,0.0000,0.0000,0.0271,0.2000
930,186,-5.3214,5,0,0.9390,0.0000,0.0000,0.0836,0.2000
935,187,-10.9063,5,0,0.9891,0.0000,0.0000,0.0120,0.2000
940,188,55.1325,5,0,0.9883,0.0000,0.0000,0.0133,0.2000
945,189,-32.9267,5,0,0.9714,0.0000,0.0000,0.7260,0.2000
950,190,-10.5376,5,0,0.9277,0.0000,0.0000,0.0543,0.2000
955,191,-42.9273,5,0,0.9822,0.0000,0.0000,0.0174,0.2000
960,192,55.1168,5,0,0.9881,0.0000,0.0000,2.6891,0.2000
965,193,-48.9617,5,0,0.8957,0.0000,0.0000,0.0464,0.2000
970,194,-5.8069,5,0,0.9768,0.0000,0.0000,0.0242,0.2000
975,195,-42.7056,5,0,0.9163,0.0000,0.0000,0.0891,0.2000
980,196,-26.6877,5,0,0.9513,0.0000,0.0000,0.0532,0.2000
985,197,-16.8487,5,0,0.9760,0.0000,0.0000,0.0251,0.2000
990,198,-37.8075,5,0,0.9543,0.0000,0.0000,0.0524,0.2000
995,199,-21.8461,5,0,0.9738,0.0000,0.0000,0.0257,0.2000
1000,200,-26.4061,5,0,0.9156,208.7158,-1.5790,0.0818,0.2000
1005,201,44.1846,5,0,0.9752,279.7936,-1.3474,1.4879,0.1999
1010,202,-70.0000,5,0,0.9326,220.2422,-1.0718,0.0840,0.1998
1015,203,-58.9379,5,0,0.9693,249.8163,-0.7288,0.0317,0.1997
1020,204,-10.5256,5,0,0.9523,262.6546,-0.3600,0.0604,0.1996
1025,205,-10.6399,5,0,0.9589,277.4059,-0.0565,0.0476,0.1995
1030,206,-21.7485,5,0,0.9613,309.4039,-0.0076,0.0436,0.1994
1035,207,-32.8600,5,0,0.9537,322.0734,0.2251,0.0370,0.1993
1040,208,-42.8337,5,0,0.9530,328.6676,0.4220,0.0422,0.1992
1045,209,-26.8146,5,0,0.9720,248.8043,0.3989,0.0323,0.1991
1050,210,-21.8683,5,0,0.9786,313.9189,0.3906,0.0228,0.1990
1055,211,-26.6396,5,0,0.9341,223.6981,0.4911,0.0611,0.1989
1060,212,-26.8378,5,0,0.9762,201.4077,1.0343,0.0273,0.1988
1065,213,-5.6764,5,0,0.9691,233.5661,0.8319,0.0410,0.1987
1070,214,-26.7861,5,0,0.9681,267.4662,0.6182,0.0372,0.1986
1075,215,-10.8004,5,0,0.9786,205.7602,0.8705,0.0250,0.1985
1080,216,-42.8605,5,0,0.9689,167.1091,1.5838,0.0327,0.1984
1085,217,-21.8269,5,0,0.9758,192.7409,1.2544,0.0283,0.1983
1090,218,-10.8248,5,0,0.9731,185.1097,1.3584,0.0212,0.1982
1095,219,-26.8430,5,0,0.9777,261.4925,1.4862,0.0293,0.1981
1100,220,-10.7795,5,0,0.9803,165.6296,1.1099,0.0274,0.1980
